"Шифр","Mobile - iOS","Mobile - Android","ML","Frontend","Backend - Python","Backend - NodeJS","Backend - Kotlin","Backend - Java","Backend - Golang","Backend - Custom","Backend - .NET"
cJvs_W4,0,,,0,0,,,,,,
FLWvqmk,0,,,,0,,,,,,
pW-xG1j,0,0,,0,0,,,,,,
chm3mrr,0,0,,0,0,,,,,,
lWM~gqF,0,0,,,,,,,,,
6r7HJq2,0,,0,0,0,,,,,,
dvNbtJ2,0,0,0,0,0,0,,0,0,,0
lhQlWjp,0,,,0,0,,,,,,
jPmgM0V,0,0,63.0,,0,,,,,,
0G_2NZn,0,,0,0,0,0,0,0,0,0,0
ZbdQ6nb,0,,0,0,0,,,,,,
rwGD80t,0,0,,,,,,,,,
1HRLms0,0,0,,,0,,,,,,
NJV5JD4,0,,0,0,0,,,,,,
TkkZQqN,0,0,0,0,0,,,,,,
MpjZG56,0,,,,7.38,,,,,,
fv85rtF,0,0,,,90.52,0,,,,,
-3_mMKJ,0,0,,0,,0,,,,,
mDk1~_n,0,0,0,0,0,,0,0,,0,
xT_d7R3,0,0,0,,,,,,,,
G26D8g0,0,,,0,0,,,,,,
LQVjCg3,0,0,0,0,0,0,0,0,0,0,0
75tkq0k,0,,,,0,,,,,,
vm~J9V1,0,0,0,0,0,,,,,,
JPQfJGz,0,,,,,,,,0.19,,
JWjh34k,0,0,0,0,0,,,,,,
RjkwtDp,0,,0,24,,,,,,,
fGzCJKd,0,0,,,0,,,,,,0
JZz-WnH,0,0,,0,57.23,,,,,,
sRx1_m3,0,,58.0,,,,,,,,
nW2_jcb,0,0,0,0,0,0,,,0,0,
FBq3M4Q,0,0,51.0,,0,,,,,,
1jJRmMw,0,0,0,0,0,0,0,0,85.28,0,0
036wMLB,0,0,0,0,69.79,,,,,,
Rvrwxdc,0,,,,,,,,,,
NVDZDcs,0,0,,0,,,,,,,
QP3sC8h,0,0,55.0,,0,,,,,,
Zgf59L2,0,0,,0,0,,,,,,
QZ3PsVM,0,0,0,0,0,0,0,0,0,0,0
6Mx0tgn,0,0,0,0,0,0,,,0,0,0
3pt8JBv,0,0,0,0,0,0,,,,,
X__cgnw,0,,,,0,,,,,,
PRCdzbf,0,0,0.0,0,0.21,,,,,,
~4Wf45N,0,,,0,0,,,,,,
HM9DBHC,0,0,0,0,0,0,,,0,,
rkbegxf,0,0,0,0,0,,,,,0,
tlkskuv,,78.30,0,0,0,,,,,,
ZxfN6hz,,69.48,,,0,,,,,,
vC2-QhN,,66.00,,,,,,,,,
TbKpZMZ,,62.21,,,,,,,,,
QQ6G7gq,,56.76,,,,,,,,,
GnnXpV6,,55.05,,,,,,,,,
bdH0W1x,,54.85,,,,,,,0,,
HV5vct1,,54.43,,,,,0,,,,0
FZWXNFW,,54.43,,,,,,,,,
CLCnP6W,,50.1,,,,,,,,,
tBxhM7g,,48.7,,,,,,,,,
xCd8kJN,,45.43,,,,,,,,,
2RWK3rT,,45.29,,,,,,,,,
vigxqkd,,45.03,,,,,,,,,
w~W7cbf,,44.99,,,,,,,,,
icnyhvx,,43.25,,,,,,,,,
hppVfSz,,41.94,,,,,0,,,,
lusvxkx,,40.48,,,,,,,,,
LF9cP5M,,39.03,,55,0,,,,,,
qxfs4P9,,36.18,,,0,,,,,,
VW6~t~S,,30.78,0,,,,,,,,
sQ1xRll,,27.21,,,,,,,,,
dBrLXN0,,0.93,0,0,0,,0,,,,
RfMqz25,,0,,,,,,,,,0
qqlzXfL,,0,,,,,,,,,
d_s6BkN,,0,,0,0,,,,,,
C3S~qjF,,0,,0,,,0,,,,
8VJR58g,,0,,,,,,,,,
krqjzwr,,0,0,0,77.91,,,,,,
QVgbV-k,,0,0,0,0,,,,,,
rlGzkL1,,0,,0,0,,,,,,
hgTHdgg,,0,0,0,0,,,,,,
x3Zf-J5,,0,44.0,,,,,,,,
XF~tcHg,,0,,,,,,,0,,
FSsKF4S,,0,,0,0,,,0,,,0
w_xDqlN,,0,0,0,0,,,,,,
8MKhQWP,,0,,23,0,,,,,,
4nPkrkX,,0,,44,0,,,,,,
_Bhqlth,,0,,,56.93,,,,,,
GmTkZDF,,0,,0,35.84,,,,,,
xBCNtkK,,0,,0,0,,,,,,
38xp9WZ,,0,,0,0,,,,,,
VP-Fr3X,,0,46.0,64,92.98,0,,0,,,
KTdJ7rB,,0,0,0,0,,,,,,
WCKVPW9,,0,,0,,,,,,,
HXqZ1s6,,0,,0,0,,,,,,
VBRhKF0,,0,0,0,0,80.17,,,,,
snFnWWX,,0,,,0,,,,,,
JVH8Qwv,,0,0,,0,,,,,,
8Z-p1vP,,0,0,0,0,,,,,,
l3ctsQ9,,0,,,0,,,,,,
D45-9rx,,0,,0,0,,,,,,
KDNZ4pS,,0,0,,0,,,,,,
dLS5~tz,,0,,0,,,,,,,
_pkPL9v,,0,0,,0,,,,,,
gC8Hk8Q,,0,,0,0,,,,,,
9mN1RkL,,0,,,,,,,,,
-FdPLXB,,0,0,0,0,,,,,,
tMFTDxK,,0,,,0,,,0,,,
SBmp6cp,,0,,0,91.8,,,,,0,
5J6W6vt,,0,0,0,0,,,,,,
l1hggNx,,0,0,0,0,,,,,,
S7H7TvJ,,0,0,0,0,,,,,,
FlTf2Sc,,0,0,,0,,,,,,
q9ZlJpS,,0,,0,,86.51,,,0,,
20Zh~Xq,,0,,0,,,,,,,
vLJlhFT,,0,0,0,0,,,0,0,,
DhSjc9l,,0,,,,,,,,,
Z3~1Ps2,,0,0,0,0,,0,0,0,0,0
GZNsK-q,,0,,,,,,,,,
77jCQ9l,,0,,,,,,,,,
BLRljCC,,0,,74,,91.95,,,,,
6d~W2DZ,,0,0,0,0,,,,,,
d6LQs6r,,0,,0,,0,,,,,
L1Lkj99,,0,0,0,,,,,,0,
k11LkfF,,0,,,,,,0,,,
l-1gB3k,,0,0,0,0,,,,,0,0
w8ZqPsh,,0,,0,87.12,,,,,,
bjVpRfq,,0,0,0,0,,,,,,
bFPckBW,,0,,0,,,,0,,,
JQZ-tgr,,0,36.0,,0,,,,,,
_q8pF1L,,0,0,,0,0,,,,,
tTSW_wf,,0,,11,0,,,,,,
vccZr~N,,0,,,,,0,,,,
vGM46mt,,0,,49,82.7,,,,,,
j3M~73K,,0,,0,0,,,,,,
shxhPts,,0,,0,22.88,,,,,,
hdk4J_0,,0,,,0,,,,,,
MDVtxLq,,0,,,0,,,,,,
zggKcbN,,0,0,0,,,,,,,81.03
q_2f2_4,,0,0,0,0,,,,,,
G0x5Rrn,,0,0,0,0,0,,,0,,
NMFTqv7,,0,,,0,,,,,,
3rvB3xH,,0,0,,,,,,,,
f3Mz_hl,,0,0,0,0,,,,,,
HZhG1bp,,0,,,,,,,,,
NT07cqC,,0,44.0,0,0,,,,,,
B2PddJS,,0,,39,,,,,,,
t4Tm4z1,,0,0,0,0,,,,,,
DTSbRcM,,0,,,,,,,,,
g9THfjH,,0,,,0,,,,,,0
0bV4FX4,,0,,0,0,,,,,,
FNt5-NQ,,0,,0,0,0,,,,,
z~s9qLv,,0,0,0,0,,,,,,
B1MTTkk,,0,0,50,,,,,,,
KgTTGXm,,0,,,0,,,,,,
RRZvG3j,,0,,,,,,,,,
s9DZK8X,,0,0,,0,,,,,,
0gt0481,,0,0,0,0,,,,,,
XPgN-QM,,0,39.0,,0,,,,,,
4xPhMKP,,0,0,62,96.63,,,45.32,,,
W-JscjP,,0,,,0,,,,,,
0sp321W,,0,,0,0,,,,,,
1DFXgzZ,,0,0,0,,,,,53.38,,
Mcw~xTf,,0,,0,0,,,,,,
QRkWDT9,,0,0,0,0,,,,,,
N0j2dZT,,0,,,,,,,,,
1vrrbt5,,0,0,0,0,,,,,,
gDK7F_n,,0,,23,,,,,0,,
BPT-4jC,,0,0,0,0,,,,,,
NLF-3wK,,0,0,0,0,,0,,,,0
lrPtNbF,,0,,0,0,,,,,,
kBXGfWZ,,0,0,0,0,,,,,,
6C9SW~S,,0,,0,0,,0,0,,,
fmHdTwm,,0,0,0,0,,,,,,
Gn_-bWv,,0,0,0,0,,,,,,
WLPXD~D,,0,,,0,,,,,,
0XnSh1M,,0,0,0,0,,,,,,
2ZML69x,,0,0,,0,,0,0,0,,
qcTWcmJ,,0,0,0,,,,,0,,
JXWL06V,,0,,0,0,,,,,,
S~~s6bz,,0,46.0,,0,,,,,0,
xJwWfdR,,0,,0,0,,,,,,
Q4LGKHW,,0,0,0,82.32,,,,,,
kqtsdsf,,0,0,,,,0,,,,
Xc2Pd9W,,0,0,47,0,,,,,,
90BKnWn,,0,44.0,65,95.17,,,,,,
2XhmqQM,,0,0,,0,,0,,0,,0
svhspxQ,,0,0,0,0,0,,,,,
7DxRLdT,,0,0,0,87.94,,,,,,
zVMjbz5,,0,,0,0,,,,,,
7xPfn1D,,0,0,0,0,,,0,,,
jks2VQc,,0,0,0,0,,,,,,
j9Xb2kM,,0,,,,,,,,,
8ncQ-tm,,0,,0,,,,,,,0
Jrb29B8,,0,0,0,0,,,,,0,
bM7C9Nj,,0,,,,,,,,,
3NjM4Kp,,0,0,0,0,,,,,,
RrL5cgs,,0,0,0,0,,,,,,
4v3BVLx,,0,52.0,62,94.32,,,,,,
cZJ~JLX,,0,,,0,,,,,,
77_tPfD,,0,0,0,0,,,,,,
6vKMt4R,,0,0,0,0,,,,,,
15bZcVh,,0,,0,,,,,,87.51,
8Gl_DdG,,0,,0,0,,,,,0,
df910N9,,0,,0,0,,,,,,
Ks~2hmb,,0,,20,,,,,,,
1CZXZNr,,0,0,0,0,,,,,,
CPT3FcD,,0,,0,0,,0,,,0,
Pvwg0zv,,0,,0,,,,0,,,
w7_TZNc,,0,,,85.3,,,,,,
X3spcd9,,0,,,87.53,,,,,0,
PW-ngbS,,0,0,51,0,0,,,,,
l2x20-s,,0,,0,0,,,,,,
XZLq0tn,,0,,,0,,,,,,
gPkg-Zz,,0,,0,,,,,0,,
_j7FwKG,,0,0,0,0,,,,,,
sh_xDsB,,0,,0,0,,,,,,
8D7fTWt,,0,,,,,,,,,
CfJ8nsv,,0,0,,0.21,,,,,,
HQ1JRtT,,0,77,0,0,,0,,0,,
VD196NK,,0,,64,0,,,,,0,
wpF9mWr,,0,0,0,0,,,,,,
MZRtCXc,,0,73,0,,,,,,,
XJDxkRh,,0,0,0,0,,,,,,
Lc_Rc2T,,0,0,0,0,,,,,,
_csLqJ7,,0,,,,,,,,,
8R1xXVR,,0,42.0,98,0,,,,,,
ZK0t4tl,,0,,,65.98,,,0,,,
CSxr-9x,,0,,0,0,,,,,,
gtvcusd,,0,0,0,96.83,,,,,,
cworcvi,,0,,,,,,,,,
cyqqwsh,,0,0,0,89.28,,,,,,
d~HM5TJ,,,74,,,,,,,,
NLwN5KW,,,71,,,,,,,,
MSv25nq,,,71,,0,,,,,,
kJLqkJl,,,69,,,,,,,,
SfcLLc1,,,67,,,,,,,,
KB9pkkH,,,67,,93.25,,,,,,
mlCkJ5w,,,66,,,,,,,,
WmB92TF,,,66,,0,,,,0,,
cbhmsr2,,,63,0,0,,,,,,
06PW5sS,,,62,,,,,,,,
HWDHgZw,,,62,,0,,,,,,
hikdpiz,,,60,,,,,,,,
wW7tQrr,,,58,,,,,,,,
wC2txG2,,,58,,,,,,,,
ZkzH8bL,,,58,,,,,,,,
S~NXCzr,,,58,,,,,,,,
CrzVXfd,,,58,,87.17,,,,,,
NZBRKs1,,,58,,0,0,,,0,,
nlH1tVt,,,57,,,,,,,,
lq-bk26,,,57,,,,,,,,
rkH4WJT,,,56,,,,,,,,
6H_8_Gs,,,55,,0,,,,,,
GXxTsnf,,,55,,,,,,,,
m_Tjxwf,,,55,,0,,,,,,
1x6w0Np,,,55,0,0,,,,,,
5TDwjzB,,,55,,,,,,,,
vZKlpsc,,,54,0,0,,,,0,,
Kpdxbbx,,,54,0,,,,,,,
r4PJ5~g,,,54,,,,,,,,
qjx1KlZ,,,53,0,0,,,,,,
4Dlg4Z1,,,52,0,,,,,,,
k_-P2N1,,,52,,,,,,,,
84kCjmp,,,52,,84.44,,,,,,
9B51nbf,,,51,,0,,,,,,
D_b56JJ,,,50,,,,,,,,
RwlS0D3,,,50,0,0,,,,,,
bCPxd81,,,50,,,,,,,,
m677pt8,,,50,,0,,,,,,
8VMgbR4,,,50,0,0,0,,0,,,
Jd3Qf-q,,,49,,,,,,,,
gGBwcbf,,,49,,,,,,,,
gqvVvKS,,,49,,0,,,,,,
G-j_p3w,,,48,0,91.69,,,,,,
JW-VLhD,,,48,,,,,,,,
z0B8tTw,,,47,,,,,,,,
CBGVGRk,,,47,,,,,,,,
P8W0wsK,,,47,0,0,,,,,,
h-9LcPg,,,47,,0,,,,,,
CmHj-LL,,,46,,0,,,,,,
vD8CxWj,,,46,,,,,,,,
bmRNwgn,,,45,,,,,,,,
Nz7Zhrg,,,45,,,,,,,,
f~2df6w,,,45,,,,,,,,
mnL9QlN,,,45,,84.27,,,,,,
bbniymx,,,45,37,,,,,,,
NpDWsHR,,,44,61,97.69,,,,,,
HwPh-tS,,,43,,,,,,,,
xQTBNVt,,,43,,0,,,,,,
T1~K~wW,,,42,,0,,,,,,
ZzdwT9c,,,42,,96.0,,,,,,
MPx9t9T,,,41,0,0,,,,,,
~dDmCGF,,,41,,0,,,,,,
H3Qk_GK,,,40,,,,,,,,
hzwjDdX,,,40,36,,,,,,,
vgL7QPT,,,40,,,,,,,,
0M_JNJ3,,,40,,,,,,,,
vbT-JpG,,,40,,,,,,,,
XdXRB5L,,,40,,,,,,,,
3cPTQSL,,,40,91,88.72,,,,,,
9kvJTT6,,,39,,,,,,,,
kZt_kJB,,,39,,0,,,,,,0
-TV7HBr,,,38,0,0,,,0,,,
s32Lzd6,,,38,,0,,,0,88.59,,
NcSskXp,,,37,,0,,,,,,
TdcL~ns,,,37,,0,,,,,,
KhcnMfb,,,37,,,,,,,,
jihvkxr,,,37,,,,,,,,
rtfhifh,,,36,,,,,,,,
KMq8bkb,,,36,,,,,,,,
9V_Z5JC,,,36,,,,,,,,
JSqGCwl,,,36,,0,,,,,,
8LMKGKh,,,36,,,,,,,,
pRCNc4M,,,34,0,,,0,,,,
VQ90JkJ,,,33,,0,,,,,,
5P0gBd0,,,33,,,,,,,,
qPzbcXH,,,31,0,0,,,,,,
Q~VNd58,,,31,,0,,,,,,
JM1VQWC,,,30,,,,,,,,
WQmST7t,,,30,,,,,,,,
QkVBcc4,,,29,,0,,,,,,
gwLgnGn,,,29,,0,,,,,0,55.23
T8z110J,,,27,,80.14,,,,,,
HRxTnNq,,,25,,0,,,,,,
~4HWNTr,,,23,,0,,,,,,
TZGLZ9Z,,,12,,,,,,,,
-qrRQCm,,,0,,,,,,,,
N-MbF~Q,,,0,,,,,,,,
jt_xqLS,,,0,,0,,,,,,
tNNSN~l,,,0,,,,,,,,
GVcDlhS,,,0,0,0,,,,,,
TKv6RGb,,,0,,,,,,,,
dk6rBJl,,,0,,,,,,,,
LtXwhn9,,,0,,0,,,,,,
frJd3xQ,,,0,,90.86,,,,,,
7RV2Vfx,,,0,0,0,,,,,,
HrqRnrd,,,0,,0,,,,,,
j1pc13C,,,0,,,,,,,,
3sHkjRn,,,0,,,,,,,,
lscGKdv,,,0,,,,,,,,
wJK3k~s,,,0,,,,,,,,
BjHq4s1,,,0,,71.13,,,,,,
~q3R69Q,,,0,,0,,,,,5.12,
GsRw0cJ,,,0,,,,,,,,
rc4KrSk,,,0,,,,,,,,
lxgMh8v,,,0,0,0,,,,,,
bxzt1vr,,,0,,0,,,,0,,
3RFtPJd,,,0,0,0,,,,,,
tlX5pgz,,,0,,0,,,,,,
SQjwV4C,,,0,,,,,,,,
0B1H-n4,,,0,,,,,,,,
Zf8d1p4,,,0,,,,,,,,
pLgfb_V,,,0,,0,,,,,,
wXm6F~D,,,0,,96.58,,,,,,
LKhKB0d,,,0,,0,,,,,,
rnbGsqS,,,0,,0,,,,,,
nbW8CD1,,,0,,0,,,,,,
zzvkqno,,,0,,0,,,,0,,
hp25cMg,,,0,,,,,,,,
3dDX2pb,,,0,,,,,,,,
4dKWKNK,,,0,,92.41,,,,,,
M4K2WzV,,,0,,,,,,,,
4CSNkjC,,,0,,,,,,,,
QG9z38k,,,0,,0,,,,,,
vd1vCLz,,,0,,0,,,,,,
TLm6gcX,,,0,,0,,,,,,
x75dkh1,,,0,59,0,,,,,,
zxJfbLg,,,0,0,,,,,,,
~7Q3d3X,,,0,,0,,,,,,
bvMxplx,,,0,0,0,,,,,,
p_3t3l2,,,0,,,,,,,,
5D-5mt0,,,0,,0,,,,,,
wdblrr0,,,0,,0,,,,0,0,
pghkV8L,,,0,,0,,,,,,
W38fq2c,,,0,95,0,,,,,,
j6b1Z7K,,,0,0,0,,,,,,
KdXbHTV,,,0,,0,,,,,,
92Z2LpR,,,0,0,,,,,,,
cVZ2bqZ,,,0,,,,,,,,
LhPNK1D,,,0,,0,,,,,,
NbjPspV,,,0,,70.96,,,,,,
Gss2bMJ,,,0,,0,,,,,,
N3z_~qV,,,0,,0,,,,,,
r6DMJLh,,,0,,0,,,,,,
f4PhGzT,,,0,,0,,,,,,
mjpb64X,,,0,,,,,,,,
-9q3MvV,,,0,,,,,,,,
GknTqLf,,,0,,0,,,,,,
rgbChJK,,,0,,0,,,,,,
LPw9DlX,,,0,,,,,,,,
S7qC0Xw,,,0,,0,,,,,,
uhclecs,,,0,0,0,,,,96.77,,
tyrxiit,,,0,8,,,,,,,
ymtaeww,,,0,0,,,,,0,,
chiplqf,,,0,,0,,,,,,
H6CX6lX,,,0,51,93.76,,,,,,
Zkj~pCL,,,0,,0,,,,,,
Dj0VcBM,,,0,0,87.65,,,,,,
sgR79_J,,,0,,0,,,,,,
z0q-M1q,,,0,,0,,,,,,
vstCMpc,,,0,,,,,,,,
xHb1jM9,,,0,0,0,,,,,,
kXcFFM2,,,0,,,,,,,,
r_x~dwr,,,0,,0,,,,,,
W8n5DdC,,,0,,,,,89.86,,0,
QKNvSb2,,,0,0,0,,,,,,
t7gbNgR,,,0,,,,,,,,
cMTW~j8,,,0,,,,,,,,
XFWN3Ch,,,0,,0,,,,,,
P6GSqmF,,,0,,0,,,,0,,
8S0Vshk,,,0,0,0,,,,,,
2VsRFh9,,,0,,79.42,,,,,,
BLRTbnS,,,0,,12.4,,,,,,
X27gHcQ,,,0,,0,,,,,,
hBb26Vq,,,0,0,,,,,,,
sgwHc0T,,,0,,0,,,,,,
3FnqvjR,,,0,49,0,0,,,,,
8VKJ_f8,,,0,0,0,,,,,,
ZSfs6HH,,,0,0,68.59,,,,,,
nWNN95M,,,0,0,,,,,,,
g-_1fB4,,,0,,,,,,,,
nJSrWRj,,,0,,58.48,,,,,,
j9xP0j1,,,0,75,,0,,,,,
Q0ZnTQX,,,0,11,0,,,,,,
vW0GVzN,,,0,,0,,,,,,
d6nFncK,,,0,0,0,,,,,,
mDXjxKz,,,0,0,,0,,,,,
dvbNpKP,,,0,,,,,,92.6,,
~ddT2n3,,,0,,70.83,,,,0,,
LcjzXrt,,,0,,,,,,,,
X1l53zT,,,0,,0,,,,,,
hL0S8BM,,,0,,,,,,,,
J2BJ3_k,,,0,0,0,,,,,,
s6drwXm,,,0,0,,,,,,,
Qf_Cj3M,,,0,0,0,,,,,,
8FFlL2s,,,0,31,0,,,,,,
pxCVDBv,,,0,0,0,,,,,,
RbGLRxq,,,0,0,49.63,,,,,,
5H-1kDP,,,0,15,0,,,,,,
pJ~JdtP,,,0,99,0,,,,,,
rF6Snh3,,,0,,0,,,,,,
-MN7T5F,,,0,,0.21,,,,,,
xchLD2t,,,0,0,,,,,,,42.98
vPt7ftl,,,0,,74.33,,,,,,
D50DsGW,,,0,0,,,,96.93,,,
0wZb~4s,,,0,0,0,,,,0,0,
ouclmix,,,0,59,0,0,0,,,,
Nn5gkfF,,,0,,0,,,,,,
Mhl_42M,,,0,0,0,0,,,,,
tj3hmRT,,,0,,,,,,,,
58RFJFX,,,0,0,0,,,,,,
sPxS8V5,,,0,0,0,,,,,,
3Gg_R4k,,,0,0,0,,,,,,
LQvhtSV,,,0,,,,,,,,
dZ1dVr5,,,0,,,,,,,,
M0hltrB,,,0,,0,,,,,,
zdmk_6p,,,0,,0,,,,,,
p-2XHZX,,,0,36,0,,,,,,
k2p9mC8,,,0,58,0,,,,,,
w12xWlR,,,0,,0,,,,,,
N_Gq-n2,,,0,,0,,,,,,
CpgQHQd,,,0,,,,,,,,
PB_Dr3h,,,0,0,95.47,,,,,,
7jJ9qHB,,,0,,0,,,,,,
kdFXGBw,,,0,0,0,,,,,,
-_4p54V,,,0,0,,,,,,,
6NFBwdG,,,0,0,90.56,,,,,,
6Q_Zw1p,,,0,,0,,,,,,
~ZsTK~1,,,0,,,,,,,,
r4LR8JD,,,0,0,93.29,,,,,,0
sbqRdj9,,,0,,0,,,,,,
LDSHC5z,,,0,0,81.34,,,,,,
bJnCpVv,,,0,,,,,,,,
BMnnrqX,,,0,,,,,0,,,
9tlmLr5,,,0,,,,,,0,,
00L7BcH,,,0,,0,,,,,,
NwRj7h8,,,0,,,,,,,,
TtWw9hN,,,0,0,,,,,,,
kS-KmLf,,,0,,,,,,,,
mlXJsNf,,,0,,0,,,69.42,,,
5lt4HVc,,,0,,0,,,,,,
-ZjVr1h,,,0,0,0,,,,,,
XzRjqjh,,,0,23,0,,,,,,
SMSSKm5,,,0,0,0,,,,,,
zlwZF03,,,0,0,84.02,,,,,,
s4PWhkG,,,0,0,97.98,,,,,,
rZvM2V1,,,0,,0,,,,,,
5NmdKH6,,,0,,,,,,,,
DKcC5Nc,,,0,,0,,,,,,
gDCsNDT,,,0,,0,,,,,,
s4s5Sj0,,,0,0,0,,,,,,
NB4s8Wj,,,0,,71.52,,,,,,
XfKKPbG,,,0,0,0,,,,,,
G_8wP7p,,,0,,,,,,,,
mPhqqZW,,,0,,,,,,,,
RgC3xJp,,,0,0,0,,,,,0,
KJS6_SH,,,0,,0,,,,,,
wTHDLDL,,,0,0,0,,,0,0,0,
TPpsF_w,,,0,,0,,,,0,,
brWVvb4,,,0,,96.84,,,,,,
Vhvl3rm,,,0,0,0,,,,,,
pWDBNpK,,,0,,0,,,,,,
vlbFx~3,,,0,,44.74,,,,,,
RC2-rTb,,,0,,1.29,,,,,2.97,
pVR9L~K,,,0,0,,,,,,,
HHFcZzJ,,,0,,0,,,,,,
cQTfcPs,,,0,0,,,,,,,
mVzm9Xl,,,0,13,0,,,,,,
0psj2-X,,,0,,,,,0,,,
fwBlbzn,,,0,,,,,,,,
BnpDjhV,,,0,,0,,,,,0,
sNSP1M7,,,0,,,,,,,,
P~lVrQB,,,0,0,0,,,,,0,0
0KHtkfv,,,0,0,,0,,,,,
6ls46PG,,,0,0,40.07,,,,,,
R8p9Pql,,,0,,90.3,,,,,,
6ZgxdN6,,,0,0,0,,,,,,
Sl2HSvn,,,0,89,0,,,,,,
JVr8RTz,,,0,,,,,,,,
tFJhjll,,,0,,0,,,,,,
wVkpvKM,,,0,,,,,,,,
J0M2kDJ,,,0,,0,,,,,,
0-W5CVL,,,0,,,,,,,,
v4ZQkds,,,0,0,0,,,,,,
13qrbLm,,,0,,0,,,,,,
TMl20kD,,,0,0,0,,,,,,
50ptC-S,,,0,,98.09,,,,0,,
4bwM1D9,,,0,,,,,,60.34,,
pK6Xhqh,,,0,0,,,,,,,
RbPs4d4,,,0,,0,,,,,,
Jw5c_8v,,,0,61,0,,,,,,
fM7_Z6T,,,0,0,61.71,,,,,,
kbgppkN,,,0,,0,,,,,,
8zGq6-z,,,0,0,64.33,,,,,,
Rqq5cZC,,,0,0,0,,,,,,
2KrGw17,,,0,,0,,,,,,
Xl9Z~Dk,,,0,0,0,,,,,,
ND-ZBs3,,,0,0,0,,,,,,
Pxq8r1D,,,0,,90.18,,,,,,
7txpgXR,,,0,,0,,,,,,
hR5F_d0,,,0,0,0,,,,,,
KpgS7Nj,,,0,,,,,,,,
cN896Tz,,,0,0,,,,,,,
mDHNl3v,,,0,97,,,,,,,
j-zR94g,,,0,0,0,,,,,,
pN4BQJn,,,0,89,0,0,,,,,
MCwTl6r,,,0,,,,,,,,
cN4TxsT,,,0,,0,,,,,,
PGdQpkf,,,0,,,,,,,,
pMdjsgs,,,0,30,0,,,0,,,
TNG14v1,,,0,,,,,,0,,
Ql~dWpm,,,0,,,,,,,,
t_VkKFN,,,0,,0,90.97,,,87.7,,
lbs3HmJ,,,0,0,0,,,,,,
NztZXhP,,,0,35,0,,,,,,
7V_XGQD,,,0,,0,,,,,,
t0twPz3,,,0,,0,,,,,,
s2TcK~D,,,0,0,0,,,,,0,
ztgcowp,,,0,0,0,,,,,,
xPCpP9G,,,0,,0,,,,,,
x0Hs2Tp,,,0,,0,,,,,,
n9x42nP,,,0,,84.99,,,,,,
~GXPpWd,,,0,,,,,,,,
lmmKK7H,,,0,,0,,,,0,,
6wndNlz,,,0,0,95.94,,,,,,
RG_q~VW,,,0,0,89.88,0,,,,,
KJ0kkzC,,,0,,0,,,,,,
